UNIQIDNEW	KID_WT	kid_ok	kidecon	kidage	laschool	centre_t	type1	type2	type3	distschl
442096550	.49	1	7	2	 	Local Authority	Primary	0	0	.195726850483014
453524330	.82	1	7	3	 	Local Authority	Primary	0	0	.211896201004171
457957127	.98	1	7	3	 	Local Authority	0	Secondary	0	1.53555201800525
462080544	1.8	1	7	3	 	Local Authority	0	Secondary	0	1.49454508128728
465142048	.86	1	7	2	 	Local Authority	Primary	0	0	.427275087034103
466338593	.23	1	7	1	 	Local Authority	Primary	0	0	3.93562053556996
466920450	.99	1	7	1	 	Local Authority	Primary	0	0	.946769243268918
475411374	1.68	1	7	3	 	Local Authority	Primary	0	0	.474607206013562
475593890	.81	1	7	3	 	Local Authority	Primary	0	0	.203002463039245
480286405	.72	1	7	1	 	Local Authority	Primary	0	0	1.05800756140965
483503329	.9	1	7	3	 	Local Authority	Primary	0	0	.424417247528891
485163034	.82	1	7	4	 	Local Authority	0	Secondary	0	.42304255105131
488156589	.08	1	7	4	 	Local Authority	0	Secondary	0	18.7478092586841
488259137	.81	1	7	2	 	Local Authority	Primary	0	0	.65557074370353
491157310	1.68	1	7	4	 	Local Authority	0	Secondary	0	1.35325533436968
501951283	.99	1	7	2	 	Local Authority	Primary	0	0	.634448579476698
503183460	.8	1	7	2	 	Local Authority	Primary	0	0	.158398232313369
503231153	1.32	1	7	4	 	Local Authority	0	Secondary	0	.22668480319598
509861015	2.99	1	7	4	 	Local Authority	0	Secondary	0	1.60174966833148
513842139	1.03	1	7	1	 	Local Authority	Primary	0	0	1.31660548381055
523422524	.18	1	7	2	 	Local Authority	Primary	0	0	.451890473455682
524980622	.76	1	7	3	 	Local Authority	Primary	0	0	1.31374046143064
527584363	.84	1	7	4	 	Local Authority	0	Secondary	0	4.33001154732871
528124879	.47	1	7	2	 	Local Authority	Primary	0	0	1.19179360629263
532240836	.94	1	7	4	 	Local Authority	0	Secondary	0	2.60660737357969
532791029	2.27	1	7	2	 	Local Authority	Primary	0	0	.631877361518831
532796230	.82	1	7	4	 	Independent	Primary	Secondary	0	10.4585817872214
533508464	.66	1	7	1	 	Local Authority	Primary	0	0	1.03243837588497
536762556	1.6	1	7	2	 	Local Authority	Primary	0	0	.294613305877382
536891712	1.2	1	7	1	 	Local Authority	Primary	0	0	1.30671266925824
540129180	1.37	1	7	3	 	Local Authority	0	Secondary	0	1.45604464217276
549126478	.97	1	7	2	 	Local Authority	Primary	0	0	5.01447395047576
552918232	1.65	1	7	2	 	Local Authority	Primary	0	0	2.94520797228311
556352656	1.46	1	7	4	 	Local Authority	0	Secondary	0	1.79291299286943
556921313	2.65	1	7	4	 	Local Authority	0	Secondary	0	1.35610029127642
567671508	.65	1	7	1	 	Local Authority	Primary	0	0	1.54161246751575
569407876	1.68	1	7	3	 	Local Authority	Primary	0	0	.768891409758231
580361184	.65	1	7	2	 	Local Authority	Primary	0	0	.366852831527848
584351985	.76	1	7	4	 	Local Authority	0	Secondary	0	2.98348738894603
584550934	1.32	1	7	4	 	Local Authority	0	Secondary	0	2.06058947876572
588426842	.29	1	7	3	 	Local Authority	Primary	0	0	.27224988521577
589705357	.48	1	7	2	 	Local Authority	Primary	0	0	.53089452813153
591822109	1.91	1	7	4	 	Local Authority	0	Secondary	0	3.33210444013989
595574752	1.18	1	7	2	 	Local Authority	Primary	0	0	1.1708821460762
598841636	1.69	1	7	2	 	Local Authority	Primary	0	0	1.0401793114651
600284832	1.51	1	7	4	 	Local Authority	0	Secondary	0	2.15103184541745
601611986	.6	1	7	1	 	Local Authority	Primary	0	0	.266790179729315
601815233	.34	1	7	2	 	Local Authority	Primary	0	0	.407862722003372
612763368	.68	1	7	3	 	Local Authority	0	Secondary	0	2.92346387013761
613347176	1.5	1	7	3	 	Local Authority	0	Secondary	0	2.02159590423012
628263327	1.29	1	7	3	 	Local Authority	Primary	0	0	1.04514353081287
630144450	.49	1	7	1	 	Local Authority	Primary	0	0	2.01826484882436
640012967	.16	1	7	3	 	Local Authority	Primary	Secondary	0	10.0715633841028
643848894	.83	1	7	4	 	Local Authority	0	Secondary	0	.597616097507422
648908467	.4	1	7	1	 	Local Authority	Primary	0	0	.378790179386953
653820928	1.44	1	7	1	 	Local Authority	Primary	0	0	.334089808285138
663630139	.4	1	7	1	 	Local Authority	Primary	0	0	.20137527157027
672637127	2.52	1	7	4	 	Local Authority	0	Secondary	0	1.13596346772244
681892751	.72	1	7	1	 	Local Authority	Primary	0	0	.328257520858243
682843487	1.19	1	7	2	 	 	 	 	 	 
687563443	1.4	1	7	3	 	Local Authority	Primary	0	0	.345036229981722
691579749	.57	1	7	1	 	Local Authority	Primary	0	0	.684002923970358
694814162	.66	1	7	4	 	Local Authority	0	Secondary	0	.833441659625915
712873471	2.15	1	7	1	 	Local Authority	Primary	0	0	.0991614844584328
722318171	1.08	1	7	4	 	Local Authority	0	Secondary	0	1.38400578033475
725235036	.76	1	7	4	 	Local Authority	0	Secondary	0	6.21565354568608
754404758	.94	1	7	3	 	Local Authority	Primary	0	0	.277908258243615
760140764	.72	1	7	1	 	Local Authority	Primary	0	0	1.33107362681408
760896766	.41	1	7	3	 	Local Authority	0	Secondary	0	.765375724726098
762308902	.58	1	7	2	 	Local Authority	Primary	0	0	1.47713235696738
788546024	.82	1	7	4	 	Local Authority	0	Secondary	0	.827995169068033
790742045	.84	1	7	1	 	Local Authority	Primary	0	0	.693236611843316
790851247	.94	1	7	2	 	Local Authority	Primary	0	0	.837864547525434
794040510	.66	1	7	2	 	Local Authority	Primary	0	0	.471476404499737
797661143	.9	1	7	3	 	Local Authority	Primary	0	0	4.93946717774296
813096655	.76	1	7	4	 	Local Authority	0	0	Special	2.42064206358561
817183001	.26	1	7	1	 	Local Authority	Primary	0	0	.173769962881966
817916855	1.18	1	7	3	 	Local Authority	0	Secondary	0	1.7636808101241
822869829	.42	1	7	4	 	Local Authority	0	Secondary	0	.618684087398407
824158961	1.1	1	7	3	 	Local Authority	Primary	0	0	.128817700647077
826449069	.82	1	7	4	 	Local Authority	0	Secondary	0	.914563283758975
832779152	1.71	1	7	4	 	Local Authority	0	Secondary	0	.920065758519466
852275845	1.1	1	7	3	 	Local Authority	Primary	0	0	1.13747527445655
858707196	.55	1	7	3	 	 	 	 	 	 
867653234	2.5	1	7	2	 	Local Authority	Primary	0	0	.381725031927433
