UNIQIDNEW	KID_WT	kid_ok	kidecon	kidage	laschool	centre_t	type1	type2	type3	distschl
1770065516	.81	1	7	3	 	Local Authority	0	Secondary	0	1.46316540418368
1772115017	.98	1	7	4	 	Local Authority	0	Secondary	0	3.92730569220172
1773640044	.49	1	7	4	 	Local Authority	0	Secondary	0	1.18470924703068
1788318577	1.88	1	7	3	 	Local Authority	Primary	0	0	.404188075034383
1788712964	.95	1	7	3	 	Local Authority	Primary	0	0	.436198349377895
1797958129	.87	1	7	4	 	Local Authority	0	Secondary	0	2.26274346756321
1805303591	.43	1	7	2	 	Local Authority	Primary	0	0	2.11507446677416
1806336591	.84	1	7	3	 	Local Authority	Primary	0	0	.139014387744578
1818243918	1.88	1	7	3	 	Local Authority	Primary	0	0	7.2976873734081
1820131229	.99	1	7	4	 	Local Authority	0	Secondary	0	5.98472898300332
1822538009	.92	1	7	1	 	Local Authority	Primary	0	0	1.9513444083503
1827325919	.94	1	7	3	 	Local Authority	0	Secondary	0	2.82839389053222
1844268884	1.72	1	7	1	 	Local Authority	Primary	0	0	.477327979485804
1844416024	1.43	1	7	1	 	Local Authority	Primary	0	0	.157486507358567
1852168814	.87	1	7	4	 	Local Authority	0	Secondary	0	1.15052857417797
1857644618	.14	1	7	2	 	Local Authority	Primary	Secondary	0	6.17485165813722
1859933031	1.44	1	7	1	 	Local Authority	Primary	0	0	2.1591799369205
1863038177	.86	1	7	3	 	 	 	 	 	 
1865920653	1.6	1	7	2	 	Local Authority	Primary	0	0	.957794341181863
1871675710	.81	1	7	3	 	Local Authority	Primary	0	0	.794828912408199
1875090097	.57	1	7	4	 	Local Authority	0	Secondary	0	7.49369901984327
1883677901	.94	1	7	4	 	Local Authority	0	Secondary	0	9.15345055156797
1884040796	1.37	1	7	2	 	Local Authority	Primary	0	0	.417135469601903
1884298227	1.82	1	7	3	 	Local Authority	0	Secondary	0	1.3249154690017
1885499242	1.65	1	7	4	 	Local Authority	0	Secondary	0	1.58762243622342
1887653578	1.18	1	7	3	 	Local Authority	0	Secondary	0	9.61016904117716
1902041417	.54	1	7	4	 	Local Authority	0	Secondary	0	1.4000185713054
1906291289	.97	1	7	4	 	Local Authority	0	Secondary	0	.253314034352619
1909231931	.65	1	7	1	 	Local Authority	Primary	0	0	.257629579047127
1909730659	1.59	1	7	4	 	Local Authority	0	Secondary	0	.190065778087482
1913532112	.76	1	7	4	 	Local Authority	0	Secondary	0	2.09295222114601
1918316312	.61	1	7	3	 	Local Authority	Primary	0	0	1.78267916350643
1920066337	.65	1	7	3	 	Local Authority	Primary	Secondary	0	21.5512520285945
1931751194	.8	1	7	1	 	Local Authority	Primary	0	0	.816164811787423
1932046731	1.03	1	7	1	 	Local Authority	Primary	0	0	.137131323919811
1932819761	.82	1	7	4	 	Local Authority	0	Secondary	0	2.66064296740468
1934416071	.66	1	7	1	 	Local Authority	Primary	0	0	.376714746193987
1935809660	.87	1	7	4	 	Local Authority	0	Secondary	0	1.61633907333826
1937963726	.87	1	7	4	 	Local Authority	0	Secondary	0	1.18406080924925
1955226889	1.16	1	7	1	 	Local Authority	Primary	0	0	.107814655775548
1964400579	.58	1	7	2	 	Local Authority	Primary	0	0	.351115365656361
1966153929	1.25	1	7	2	 	Local Authority	Primary	0	0	.793516225416973
1968608387	.09	1	7	2	 	Local Authority	Primary	0	0	3.65680748741303
1968667331	2.39	1	7	3	 	Local Authority	Primary	0	0	.605661621699774
1972946232	.61	1	7	3	 	Local Authority	0	Secondary	0	8.50818247336057
1977797636	.13	1	7	4	 	Local Authority	0	Secondary	0	8.59427821285767
1990023717	1.32	1	7	1	 	Local Authority	Primary	0	0	.477142536355752
1991494415	.83	1	7	2	 	Local Authority	Primary	0	0	1.43394037532946
1992112846	.75	1	7	4	 	Local Authority	0	Secondary	0	.366960488336278
1995176152	.49	1	7	1	 	Local Authority	Primary	0	0	.598305941805695
1996347542	.97	1	7	2	 	Local Authority	Primary	0	0	1.10246677954485
2002948728	.68	1	7	2	 	Local Authority	Primary	0	0	.222319589780118
2003304703	.84	1	7	1	 	Local Authority	Primary	0	0	1.52237971610239
2014127696	.57	1	7	1	 	Local Authority	Primary	0	0	.283351371974797
2036713213	2.7	1	7	3	 	Local Authority	0	Secondary	0	.897719889497832
2036825796	1.44	1	7	1	 	Local Authority	Primary	0	0	1.26537622863716
2037599618	.43	1	7	4	 	Local Authority	0	Secondary	0	.417432629294836
2042991184	.4	1	7	3	 	Local Authority	Primary	0	0	.630087295539277
2048202828	.75	1	7	4	 	Local Authority	0	Secondary	0	3.34249741959511
2049560445	.83	1	7	1	 	Local Authority	Primary	0	0	.808191190251416
2050717343	.78	1	7	4	 	Local Authority	0	Secondary	0	4.08350535692069
2054498122	2.63	1	7	1	 	Local Authority	Primary	0	0	.205243757517738
2054717653	.52	1	7	2	 	Local Authority	Primary	0	0	.446598253467252
2055028948	.84	1	7	2	 	Local Authority	Primary	0	0	2.02714380348312
2065503211	.8	1	7	1	 	Local Authority	Primary	0	0	.468577634976318
2078966932	1.61	1	7	3	 	Local Authority	0	Secondary	0	4.43550808814503
2087930143	.95	1	7	3	 	Local Authority	0	Secondary	0	4.95257276574509
2092133230	1.65	1	7	4	 	Local Authority	0	Secondary	0	.770101941303877
2099071532	1.22	1	7	3	 	Local Authority	Primary	0	0	.412225666352788
2099550781	.78	1	7	3	 	Local Authority	Primary	0	0	1.17816467439828
2108120612	.68	1	7	3	 	Local Authority	0	Secondary	0	.550528836665256
2119269414	.49	1	7	2	 	Local Authority	Primary	0	0	.0398246155034798
2126236698	1.65	1	7	4	 	Local Authority	0	Secondary	0	3.55327032464461
2134994935	2.53	1	7	2	 	Local Authority	Primary	0	0	.705351685331509
2136835950	1.74	1	7	4	 	Local Authority	0	Secondary	0	3.60634621188815
2140235510	.9	1	7	3	 	Local Authority	Primary	0	0	1.29999538460719
2143835440	1.18	1	7	3	 	Local Authority	Primary	0	0	.378338472799159
2144623465	.2	1	7	4	 	Local Authority	0	Secondary	0	6.8633400760854
2148832442	.84	1	7	4	 	Local Authority	0	0	Special	1.50380051868591
2150195768	.8	1	7	3	 	Local Authority	0	Secondary	0	11.9539417766693
2150238869	.68	1	7	2	 	Local Authority	Primary	0	0	.471160269971907
2155215638	1.1	1	7	3	 	Local Authority	Primary	0	0	2.31923112259214
2161669802	1.44	1	7	1	 	Local Authority	Primary	0	0	.419761837236307
2170586605	.42	1	7	4	 	Local Authority	0	Secondary	0	1.24309452577026
2170967870	1.08	1	7	4	 	Local Authority	0	Secondary	0	1.99416574035359
2177722995	1.29	1	7	2	 	Local Authority	Primary	0	0	.246714409793996
2179726828	.82	1	7	4	 	Independent	Primary	Secondary	0	4.53421834498516
2188058980	.57	1	7	1	 	Local Authority	Primary	0	0	1.07029435203592
2188330391	1.5	1	7	3	 	Local Authority	0	Secondary	0	2.26158572687396
2191929422	.66	1	7	2	 	Local Authority	Primary	0	0	.906457390063096
2199737579	.16	1	7	3	 	Local Authority	0	Secondary	0	30.7412754777677
2206076705	.68	1	7	3	 	Local Authority	Primary	0	0	.515632621155799
2210428995	.81	1	7	2	 	Local Authority	Primary	0	0	.278958778316797
2214831054	.84	1	7	1	 	 	 	 	 	 
2215137128	2.4	1	7	2	 	Local Authority	Primary	0	0	.750179978405182
2222063970	1.53	1	7	4	 	Local Authority	0	Secondary	0	1.29274320729215
2222885071	.32	1	7	3	 	Local Authority	Primary	0	0	.505301889962822
2225929197	.66	1	7	2	 	Local Authority	Primary	0	0	4.31062652058839
2226124639	.1	1	7	2	 	Local Authority	Primary	0	0	2.29643985333821
2228071574	.95	1	7	3	 	Local Authority	0	Secondary	0	.413175507502562
2238776712	1.74	1	7	4	 	Local Authority	0	Secondary	0	2.92003869837371
2247132399	1.68	1	7	4	 	Local Authority	0	Secondary	0	1.84645850210613
2255885671	1.69	1	7	2	 	Local Authority	Primary	0	0	.886945883354785
2257531677	.96	1	7	4	 	Local Authority	0	Secondary	0	1.55931908216375
2258430604	.9	1	7	3	 	Local Authority	Primary	0	0	.094339811320566
2264278350	2.57	1	7	2	 	Local Authority	Primary	0	0	.574864331820996
2275790130	.7	1	7	3	 	Local Authority	Primary	0	0	.927348909526506
2281992618	.8	1	7	1	 	Local Authority	Primary	0	0	.749010680831722
2284647911	.26	1	7	1	 	Local Authority	Primary	0	0	1.32610896988143
2297807737	.27	1	7	4	 	Local Authority	0	Secondary	0	1.16348184343375
2298866953	.29	1	7	2	 	Local Authority	Primary	0	0	.710927563117369
2303183303	.83	1	7	1	 	Local Authority	Primary	0	0	.712438769298808
2306372040	1.65	1	7	4	 	Local Authority	0	Secondary	0	.729956163067345
2307438823	2.35	1	7	3	 	Local Authority	Primary	0	0	.70194159301184
2312906506	.8	1	7	2	 	Local Authority	Primary	0	0	1.9206220346544
2313025487	1.1	1	7	3	 	Local Authority	0	Secondary	0	.001
2318732422	1.59	1	7	4	 	Local Authority	0	Secondary	0	.796523697073728
2320718039	1.67	1	7	1	 	Local Authority	0	0	Special	2.42887051939785
2324395381	.96	1	7	4	 	Local Authority	0	Secondary	0	1.09481413947756
2329448769	.84	1	7	4	 	 	 	 	 	 
2332081353	2.05	1	7	2	 	Local Authority	Primary	0	0	.06000833275471
2347233072	.58	1	7	1	 	Local Authority	0	0	Special	3.18234190494988
2361561265	1.56	1	7	2	 	Local Authority	Primary	0	0	.221382022757043
2366748644	.94	1	7	3	 	Local Authority	0	Secondary	0	1.32069262131656
2370039309	.28	1	7	3	 	Local Authority	Primary	0	0	.206400096899202
2373762751	.49	1	7	4	 	Local Authority	0	Secondary	0	8.01750647021878
2374761841	2.4	1	7	2	 	Local Authority	Primary	0	0	.491544504597498
2376485547	.29	1	7	3	 	Local Authority	Primary	Secondary	0	2.46999352225871
2393258024	.1	1	7	4	 	Local Authority	0	Secondary	0	3.95989709462254
2408215670	.42	1	7	2	 	Local Authority	Primary	0	0	.823583632668838
2408434228	.08	1	7	3	 	Local Authority	0	Secondary	0	4.67604630002741
2411868386	.57	1	7	1	 	Independent	Primary	Secondary	0	2.27220421617424
2414475992	.68	1	7	3	 	Local Authority	Primary	0	0	1.33596781398356
2415670651	.65	1	7	1	 	Local Authority	Primary	0	0	9.05705757958952
2417973015	1.73	1	7	3	 	Local Authority	0	Secondary	0	1.04360768490846
2427869975	.16	1	7	3	 	Local Authority	Primary	Secondary	0	.774334553019559
2428088440	.57	1	7	1	 	Local Authority	Primary	0	0	.294200611828052
2436794867	.57	1	7	4	 	 	 	 	 	 
2445746172	.83	1	7	2	 	Local Authority	Primary	0	0	1.42955412629253
2453393848	.1	1	7	4	 	Local Authority	0	Secondary	0	1.75083208789421
2453479609	.82	1	7	4	 	Local Authority	0	Secondary	0	1.57748946113754
2468167726	.82	1	7	3	 	Local Authority	0	Secondary	0	6.97767898373091
2469968023	.42	1	7	2	 	Local Authority	Primary	0	0	1.091630889999
2471741578	.87	1	7	4	 	Local Authority	0	Secondary	0	1.50616366972517
2473311117	.87	1	7	4	 	Local Authority	0	Secondary	0	1.56928327589381
2478351351	.54	1	7	4	 	Local Authority	0	Secondary	0	1.95577554949437
2486136607	.7	1	7	1	 	Local Authority	Primary	0	0	.274045616640734
2493262543	.66	1	7	1	 	Local Authority	Primary	0	0	.833600023992322
2502962486	.84	1	7	3	 	Local Authority	0	Secondary	0	.0346554469023269
2506070952	1.62	1	7	2	 	Local Authority	Primary	0	0	1.04301869590147
2507773517	.75	1	7	4	 	Local Authority	0	Secondary	0	12.0848566809872
2508067834	.82	1	7	4	 	Local Authority	0	Secondary	0	15.6282096863332
2513356903	1.94	1	7	3	 	Local Authority	Primary	0	0	.455940785629011
2516883384	3.2	1	7	1	 	Independent	Primary	Secondary	0	2.44762129423651
2522650315	.84	1	7	3	 	Local Authority	0	Secondary	0	.550604213569057
2535042847	.58	1	7	2	 	Local Authority	Primary	0	0	.589376789498874
2535650512	.8	1	7	2	 	Local Authority	Primary	0	0	.0834865258589672
2539794883	.8	1	7	1	 	 	 	 	 	 
2543221475	1.8	1	7	3	 	Local Authority	0	Secondary	0	1.25457323421154
2543285187	.26	1	7	1	 	Local Authority	Primary	0	0	.0819084855189009
2552223630	.66	1	7	4	 	Local Authority	0	Secondary	0	1.67132821432536
2553841132	.31	1	7	3	 	Local Authority	Primary	0	0	.731693925080699
2555866726	1.59	1	7	3	 	Local Authority	0	Secondary	0	.677888633921531
2560219500	1.68	1	7	4	 	Local Authority	0	Secondary	0	.431115993672237
2561859023	.41	1	7	3	 	Local Authority	Primary	0	0	2.4479824345775
2564888048	.43	1	7	4	 	Local Authority	0	Secondary	0	1.11437202046713
2570826170	1.22	1	7	3	 	Local Authority	0	Secondary	0	.318521584825895
2572457986	.49	1	7	4	 	Local Authority	0	Secondary	0	1.57786247816468
2572553955	.43	1	7	4	 	Local Authority	0	Secondary	0	1.14335864889369
2592987479	.78	1	7	2	 	Local Authority	Primary	0	0	.065
2594178757	.66	1	7	4	 	Local Authority	0	Secondary	0	.466480439032549
2595864269	.87	1	7	4	 	Local Authority	0	Secondary	0	2.20208832702051
2615829180	.8	1	7	3	 	Independent	Primary	Secondary	0	4.28125635765951
2617610018	.1	1	7	4	 	Local Authority	Primary	Secondary	0	2.39285101918193
2623589463	.94	1	7	4	 	Local Authority	0	Secondary	0	23.7363980839554
2631377662	1.2	1	7	1	 	Local Authority	Primary	0	0	.694161364525569
2632462308	.34	1	7	2	 	Local Authority	Primary	0	0	.414903603262252
2659666930	.76	1	7	4	 	Local Authority	0	Secondary	0	.617803366776194
2664925368	1.18	1	7	3	 	Local Authority	Primary	0	0	.235227549406952
2667838671	1.65	1	7	3	 	Local Authority	Primary	0	0	.232107733606616
2673799526	1.69	1	7	2	 	Local Authority	Primary	0	0	.272882758707838
2685656231	.41	1	7	4	 	Local Authority	0	Secondary	0	5.51213796997136
2687212560	2.4	1	7	2	 	Local Authority	Primary	0	0	1.24186996098625
2688354026	.2	1	7	4	 	Local Authority	0	Secondary	0	1.56528591637439
2688980159	.83	1	7	2	 	Local Authority	Primary	0	0	4.04351641520101
2690919298	.65	1	7	2	 	Local Authority	Primary	0	0	.312800255754371
2695546318	.1	1	7	2	 	Local Authority	Primary	0	0	.521579332412625
2696621097	1.53	1	7	3	 	Local Authority	Primary	0	0	.458838751632858
2708507018	.49	1	7	4	 	Local Authority	0	Secondary	0	1.25533780314304
2711453084	.57	1	7	4	 	Local Authority	0	Secondary	0	4.15483537580011
2714237879	.41	1	7	1	 	Local Authority	Primary	0	0	.366165263235059
2736321963	.83	1	7	2	 	Local Authority	Primary	0	0	.454920872240437
2738396242	.84	1	7	4	 	Local Authority	0	Secondary	0	1.88142206854283
2750008274	.66	1	7	4	 	Local Authority	0	Secondary	0	1.22036388016034
2754047849	.86	1	7	2	 	 	 	 	 	 
2763819066	2.61	1	7	4	 	Local Authority	0	Secondary	0	8.22533160425767
2771215602	.09	1	7	2	 	Local Authority	Primary	0	0	8.4521342275191
2778327293	.78	1	7	3	 	Local Authority	0	0	Special	2.30702167306681
2780019651	.93	1	7	2	 	Local Authority	Primary	0	0	.251882909305098
2783614821	.52	1	7	1	 	Local Authority	Primary	0	0	.210857771969638
2789257272	1.68	1	7	4	 	Independent	Primary	Secondary	0	.536269521789184
2794829235	.57	1	7	1	 	Local Authority	Primary	0	0	4.00037648228264
2798746261	.84	1	7	2	 	Local Authority	Primary	0	0	.167764716195033
2800160945	.42	1	7	4	 	Local Authority	0	Secondary	0	.275486841791037
2803147939	.8	1	7	2	 	Local Authority	Primary	0	0	.534835488725272
2803190081	3.38	1	7	2	 	Local Authority	Primary	0	0	.502132452645714
2816193803	.69	1	7	4	 	Local Authority	Primary	Secondary	0	22.942417396604
2817161959	.66	1	7	4	 	Local Authority	Primary	Secondary	0	4.87356922593698
2817990645	.41	1	7	4	 	Local Authority	0	Secondary	0	.71786488979473
2822323163	.4	1	7	1	 	Local Authority	Primary	0	0	1.50615603441343
2824850004	1.71	1	7	2	 	Local Authority	Primary	0	0	4.85240775285837
2826899523	.83	1	7	1	 	Local Authority	Primary	0	0	.843445908164833
2833314841	1.97	1	7	2	 	Local Authority	Primary	0	0	1.87363737153164
2833359540	.37	1	7	4	 	Local Authority	0	Secondary	0	1.49370010376916
2850760245	.76	1	7	4	 	Local Authority	0	Secondary	0	1.8137213126608
2852427471	.99	1	7	4	 	 	 	 	 	 
2858072194	.84	1	7	2	 	Local Authority	Primary	0	0	.164076201808794
2861637026	.48	1	7	3	 	Local Authority	Primary	0	0	.399540986633412
2890257431	.93	1	7	2	 	Local Authority	Primary	0	0	.827348777723156
2893145672	1.18	1	7	2	 	Local Authority	Primary	0	0	.472758923765591
2893561121	.86	1	7	4	 	Local Authority	0	Secondary	0	1.09335309941482
2902031369	1.19	1	7	2	 	Local Authority	Primary	0	0	.554366304892352
2907690430	.98	1	7	4	 	Local Authority	0	Secondary	0	.389011567951391
2910229280	.41	1	7	1	 	Local Authority	Primary	0	0	.538471911987988
2911021039	1.51	1	7	4	 	Local Authority	0	Secondary	0	2.28598972001188
2911902448	.78	1	7	3	 	Local Authority	0	Secondary	0	1.45566651400656
2914680024	.78	1	7	2	 	Local Authority	Primary	0	0	.849602848394472
2915735478	.08	1	7	4	 	Local Authority	0	Secondary	0	1.332851454589
2919276487	1.89	1	7	4	 	Local Authority	Primary	0	0	.0974525525576421
2921141955	1.59	1	7	3	 	Local Authority	0	Secondary	0	2.83631486263426
2924362161	.76	1	7	1	 	Local Authority	Primary	0	0	.437652830448976
2930191984	.14	1	7	2	 	Local Authority	Primary	0	0	1.33299549886712
2958748807	.8	1	7	3	 	 	 	 	 	 
2960325624	.2	1	7	2	 	Local Authority	Primary	Secondary	0	2.06984105669977
2962796805	.51	1	7	1	 	Local Authority	Primary	0	0	.435488231758334
2966055503	.81	1	7	2	 	Local Authority	Primary	0	0	.664608155231336
2977505136	1.05	1	7	2	 	Local Authority	Primary	0	0	.30545212390815
2978930818	.48	1	7	3	 	Local Authority	Primary	0	0	4.17089211080795
2979272488	.69	1	7	3	 	Local Authority	Primary	0	0	.323610877443883
2986181234	.5	1	7	1	 	Local Authority	Primary	0	0	6.39043691777018
2989864177	2.29	1	7	4	 	Local Authority	0	0	Special	4.32126023284875
2991099395	.98	1	7	3	 	Local Authority	Primary	0	0	.701774892682832
2996176179	.92	1	7	1	 	Local Authority	Primary	0	0	4.17200767017512
2996428796	.8	1	7	1	 	Local Authority	Primary	0	0	.421400047460842
2997113201	.48	1	7	3	 	Local Authority	0	Secondary	0	1.22185637453835
2997927145	.66	1	7	2	 	Local Authority	Primary	0	0	1.05709413015114
3012256371	.75	1	7	4	 	Local Authority	0	Secondary	0	3.28772520141206
3033584594	1.74	1	7	4	 	Local Authority	0	Secondary	0	.444425471817267
3036833690	.18	1	7	2	 	Local Authority	Primary	0	0	.348855270850248
3041789942	2.16	1	7	1	 	Local Authority	Primary	0	0	1.73166538338098
3045749674	.69	1	7	1	 	 	 	 	 	 
3049023971	.66	1	7	4	 	Local Authority	0	Secondary	0	3.58883713756977
3050860935	.93	1	7	2	 	Local Authority	Primary	0	0	.32348261158832
3051852039	.81	1	7	2	 	Local Authority	Primary	0	0	.938143912201108
3054893939	.78	1	7	4	 	Local Authority	0	Secondary	0	1.36113371863311
3055434977	.42	1	7	2	 	Local Authority	Primary	0	0	.472349446914041
3059819085	1.44	1	7	1	 	Local Authority	Primary	0	0	.155926264625303
3059833711	1.71	1	7	2	 	Local Authority	Primary	0	0	1.32555384651096
3060517353	.7	1	7	1	 	Local Authority	Primary	0	0	.404322890769246
3066734965	2.58	1	7	2	 	 	 	 	 	 
3068402787	.86	1	7	2	 	 	 	 	 	 
3073400907	1.82	1	7	3	 	Local Authority	Primary	0	0	.456973741039898
3081689845	.33	1	7	4	 	Local Authority	0	Secondary	0	1.51203439114327
3085241956	.99	1	7	4	 	Local Authority	0	Secondary	0	3.15849220356803
3091755165	.33	1	7	4	 	Local Authority	0	Secondary	0	.614420865531111
3094526758	.68	1	7	2	 	Local Authority	Primary	0	0	.46262295662883
3096890189	.98	1	7	1	 	Local Authority	Primary	0	0	.411004866151242
3099646722	1.53	1	7	3	 	Local Authority	Primary	0	0	.658592438462514
3107144535	.8	1	7	1	 	Local Authority	Primary	0	0	.358558224002741
3112017014	.66	1	7	4	 	Local Authority	0	Secondary	0	.09338094023943
3121267241	.96	1	7	4	 	Local Authority	0	Secondary	0	4.85647547095628
3127608514	1.51	1	7	4	 	Local Authority	0	Secondary	0	3.30565394438075
3138944991	1.74	1	7	4	 	Local Authority	0	Secondary	0	1.85443064038534
3141038763	1.8	1	7	3	 	 	 	 	 	 
3143028878	.8	1	7	3	 	Local Authority	Primary	0	0	.54668821095758
3144913619	1.32	1	7	2	 	Local Authority	Primary	0	0	.436660050840468
3146277774	.49	1	7	2	 	Local Authority	Primary	0	0	.936488120586695
3149851929	2.63	1	7	1	 	Local Authority	Primary	0	0	.555931650475128
3150796262	.18	1	7	2	 	Local Authority	Primary	0	0	.718533228180855
3152249880	.28	1	7	3	 	Local Authority	Primary	0	0	.225787510726346
3161199722	.13	1	7	4	 	Local Authority	Primary	Secondary	0	1.12817108631626
3161233878	.44	1	7	3	 	Local Authority	Primary	0	0	1.79875206740673
3164613871	2.39	1	7	4	 	Local Authority	0	Secondary	0	1.82345660765481
3166523669	.81	1	7	3	 	Local Authority	0	Secondary	0	.672324326497264
3166868948	.97	1	7	4	 	Local Authority	0	Secondary	0	.969143952155716
3170857062	.29	1	7	2	 	Local Authority	Primary	0	0	.525464556368933
3176513934	.49	1	7	4	 	Local Authority	0	Secondary	0	4.26916678053224
3185090903	.58	1	7	3	 	Local Authority	Primary	0	0	1.03592325970605
3195571928	1.21	1	7	3	 	Local Authority	Primary	0	0	.433619649001288
3195947977	.66	1	7	2	 	Local Authority	Primary	0	0	.127310643702716
3200695077	.32	1	7	3	 	Local Authority	Primary	Secondary	0	.774643789105677
3202616852	1.51	1	7	4	 	Local Authority	0	Secondary	0	1.41037335482488
3208485199	.6	1	7	1	 	Local Authority	Primary	0	0	.132619757200803
3210633020	.8	1	7	2	 	Local Authority	Primary	0	0	.188162164103201
3212015774	1.6	1	7	2	 	Independent	Primary	Secondary	0	1.92708328828829
3238543328	.75	1	7	3	 	Local Authority	Primary	0	0	.577457357733019
3244424672	.16	1	7	3	 	Local Authority	0	Secondary	0	32.265089818564
3254242074	1.15	1	7	3	 	Local Authority	Primary	0	0	1.88541374769571
3257410960	.66	1	7	2	 	Local Authority	Primary	0	0	.343796451406933
3264838965	1.43	1	7	1	 	Local Authority	Primary	0	0	.153482898070111
3265306806	.1	1	7	4	 	Local Authority	Primary	Secondary	0	13.2365724415349
3269372261	1.69	1	7	2	 	Local Authority	Primary	0	0	.521551531490418
3279564237	2.53	1	7	2	 	 	 	 	 	 
3283703416	.72	1	7	1	 	Local Authority	Primary	0	0	.358923390154501
3289832557	.52	1	7	1	 	Local Authority	Primary	0	0	.243115199031241
3315417306	1.65	1	7	2	 	Local Authority	Primary	Secondary	0	20.2495067100411
3321874915	.15	1	7	3	 	Local Authority	Primary	0	0	1.75823803849194
3332402627	1.59	1	7	3	 	Local Authority	0	Secondary	0	16.9682626688769
3343091407	.75	1	7	4	 	Local Authority	0	Secondary	0	4.14313238987122
3352682391	1.95	1	7	1	 	Local Authority	Primary	0	0	.270512476606903
3359516017	.43	1	7	3	 	Local Authority	Primary	0	0	.688315334712223
3361868044	.75	1	7	4	 	Local Authority	0	Secondary	0	2.69088424128575
3364658910	.99	1	7	4	 	Local Authority	Primary	0	0	6.03638675036648
3367227191	1.71	1	7	2	 	Local Authority	Primary	0	0	1.28503073893195
3372865804	1.71	1	7	2	 	Local Authority	Primary	0	0	.863472639983457
3378382027	.33	1	7	4	 	Local Authority	0	Secondary	0	1.10572374488387
3383889599	.54	1	7	4	 	Local Authority	0	Secondary	0	1.10147582815058
3392434111	1.44	1	7	1	 	Local Authority	Primary	0	0	.626826929861824
3397628246	1.43	1	7	1	 	Local Authority	Primary	0	0	1.08421630683181
3404848716	1.6	1	7	3	 	Local Authority	Primary	0	0	.697605189200883
3420233368	1.89	1	7	4	 	Local Authority	0	Secondary	0	1.68608481399958
3422379904	.78	1	7	2	 	Local Authority	Primary	0	0	.413817592666141
3424815615	.92	1	7	3	 	Local Authority	0	Secondary	0	2.54575921877934
3435678501	1.66	1	7	2	 	Local Authority	Primary	0	0	1.15178513621248
3442519368	1.37	1	7	3	 	 	 	 	 	 
3445366789	2.73	1	7	2	 	Local Authority	Primary	0	0	4.57928433273148
3446678343	.87	1	7	4	 	Local Authority	0	Secondary	0	.672729514738279
3458585902	1.19	1	7	2	 	Local Authority	Primary	0	0	.42630740082715
3471679325	1.04	1	7	1	 	Local Authority	Primary	0	0	1.39070341913724
3476356208	1.13	1	7	4	 	Local Authority	0	Secondary	0	8.01086961571589
3485858119	2.15	1	7	2	 	 	 	 	 	 
3495452474	.94	1	7	3	 	Local Authority	Primary	0	0	.364263640787823
3496924946	.82	1	7	3	 	Local Authority	0	Secondary	0	.925319944667789
3497120636	1.48	1	7	2	 	Local Authority	Primary	0	0	.154353490404331
3506212021	.83	1	7	2	 	Local Authority	Primary	0	0	.528246154742275
3511375827	.49	1	7	1	 	Local Authority	Primary	0	0	.763204428708325
3516983213	.49	1	7	2	 	Local Authority	Primary	0	0	1.57503587260735
3520309879	1.1	1	7	3	 	Local Authority	0	Secondary	0	5.17306040946749
3525132169	.33	1	7	4	 	Local Authority	0	Secondary	0	1.14447717321055
3531543841	1.8	1	7	3	 	Grant-aided	Primary	Secondary	0	.737554065814839
3533721227	.78	1	7	4	 	Local Authority	0	Secondary	0	9.13327126499591
3534184085	.34	1	7	2	 	Local Authority	Primary	0	0	3.12466078158894
3549479968	.82	1	7	4	 	 	 	 	 	 
3550638166	.21	1	7	2	 	Local Authority	Primary	0	0	3.01534906768686
3550916245	.82	1	7	4	 	Local Authority	0	Secondary	0	4.12027232109724
3559794026	.4	1	7	3	 	Local Authority	Primary	0	0	.193545860198559
3563472173	.81	1	7	2	 	Local Authority	Primary	0	0	.199002512546953
3569852426	1.53	1	7	4	 	Local Authority	0	Secondary	0	2.47522625228483
3571874663	.86	1	7	2	 	Local Authority	Primary	0	0	2.71451008471142
3572881981	.9	1	7	3	 	Local Authority	Primary	0	0	1.12392570928865
3576094201	.56	1	7	3	 	Local Authority	0	Secondary	0	.924253212058254
3576825788	.16	1	7	4	 	Local Authority	0	Secondary	0	17.0574752234907
3582501631	1.9	1	7	3	 	Local Authority	Primary	0	0	.182701943065748
3584463038	.92	1	7	3	 	Local Authority	0	Secondary	0	.253314034352619
3595964555	.31	1	7	3	 	Local Authority	Primary	0	0	1.05435145942897
3596492824	.84	1	7	2	 	Local Authority	Primary	0	0	.365600875272475
3598603234	.75	1	7	4	 	Local Authority	0	Secondary	0	1.05994197954416
3605299155	.97	1	7	4	 	Local Authority	0	Secondary	0	2.31010497596971
3622092558	.57	1	7	4	 	Local Authority	0	Secondary	0	.276622486432322
3632706674	.69	1	7	3	 	Local Authority	Primary	0	0	.216374675043084
3636216880	1.89	1	7	4	 	Local Authority	0	Secondary	0	1.14609990838495
3644773187	1.32	1	7	4	 	Local Authority	0	Secondary	0	.402385387408638
3648097259	.2	1	7	4	 	Local Authority	Primary	Secondary	0	5.58493375072614
3651027489	.4	1	7	2	 	Local Authority	Primary	0	0	2.0315533465799
3661196470	1.18	1	7	3	 	Local Authority	Primary	0	0	.11438968484964
3663784280	.55	1	7	3	 	Local Authority	Primary	0	0	.548383077784134
3665205310	1.43	1	7	1	 	Local Authority	Primary	0	0	9.05108529404071
3673334657	.8	1	7	1	 	Local Authority	Primary	0	0	.188281703837627
3688338003	.75	1	7	4	 	Local Authority	0	Secondary	0	.670981370829325
